ImageId,Label
1,6.0
2,3.0
3,8.0
4,9.0
5,6.0
6,3.0
7,1.0
8,1.0
9,3.0
10,5.0
11,2.0
12,5.0
13,0.0
14,5.0
15,8.0
16,1.0
17,9.0
18,5.0
19,2.0
20,9.0
21,6.0
22,3.0
23,8.0
24,8.0
25,1.0
26,6.0
27,5.0
28,8.0
29,5.0
30,0.0
31,9.0
32,4.0
33,9.0
34,3.0
35,4.0
36,4.0
37,3.0
38,6.0
39,7.0
40,5.0
41,4.0
42,8.0
43,3.0
44,9.0
45,7.0
46,9.0
47,9.0
48,9.0
49,7.0
50,7.0
51,0.0
52,8.0
53,6.0
54,1.0
55,0.0
56,6.0
57,1.0
58,3.0
59,9.0
60,6.0
61,4.0
62,7.0
63,1.0
64,3.0
65,7.0
66,9.0
67,1.0
68,9.0
69,4.0
70,8.0
71,0.0
72,1.0
73,0.0
74,9.0
75,6.0
76,4.0
77,0.0
78,2.0
79,4.0
80,5.0
81,3.0
82,0.0
83,5.0
84,1.0
85,1.0
86,5.0
87,9.0
88,0.0
89,9.0
90,7.0
91,0.0
92,0.0
93,4.0
94,0.0
95,2.0
96,3.0
97,7.0
98,7.0
99,8.0
100,7.0
101,1.0
102,2.0
103,7.0
104,9.0
105,7.0
106,3.0
107,3.0
108,6.0
109,4.0
110,0.0
111,0.0
112,1.0
113,4.0
114,8.0
115,2.0
116,4.0
117,7.0
118,2.0
119,8.0
120,6.0
121,4.0
122,1.0
123,3.0
124,5.0
125,6.0
126,5.0
127,1.0
128,9.0
129,7.0
130,0.0
131,9.0
132,4.0
133,9.0
134,4.0
135,2.0
136,2.0
137,6.0
138,9.0
139,0.0
140,2.0
141,8.0
142,6.0
143,5.0
144,1.0
145,5.0
146,5.0
147,7.0
148,2.0
149,9.0
150,0.0
151,5.0
152,8.0
153,2.0
154,9.0
155,4.0
156,5.0
157,7.0
158,2.0
159,5.0
160,2.0
161,3.0
162,5.0
163,5.0
164,4.0
165,8.0
166,6.0
167,3.0
168,4.0
169,5.0
170,1.0
171,3.0
172,5.0
173,4.0
174,6.0
175,2.0
176,7.0
177,9.0
178,7.0
179,6.0
180,2.0
181,2.0
182,9.0
183,1.0
184,2.0
185,0.0
186,8.0
187,2.0
188,4.0
189,7.0
190,3.0
191,4.0
192,3.0
193,9.0
194,2.0
195,3.0
196,7.0
197,3.0
198,1.0
199,7.0
200,3.0
201,1.0
202,0.0
203,0.0
204,8.0
205,3.0
206,5.0
207,6.0
208,7.0
209,7.0
210,7.0
211,1.0
212,0.0
213,0.0
214,9.0
215,7.0
216,6.0
217,4.0
218,6.0
219,2.0
220,6.0
221,9.0
222,9.0
223,7.0
224,3.0
225,4.0
226,7.0
227,4.0
228,6.0
229,6.0
230,5.0
231,5.0
232,0.0
233,2.0
234,7.0
235,8.0
236,2.0
237,7.0
238,2.0
239,7.0
240,6.0
241,7.0
242,4.0
243,6.0
244,0.0
245,3.0
246,9.0
247,7.0
248,4.0
249,9.0
250,6.0
251,0.0
252,4.0
253,7.0
254,1.0
255,5.0
256,4.0
257,4.0
258,7.0
259,0.0
260,8.0
261,3.0
262,4.0
263,5.0
264,5.0
265,9.0
266,1.0
